Comment,Reply
So very tragic and sad.😪,
,"Barbara McCulloch Hello, how are you doing? sorry for infringing on your profile,🙏🙏🙏🙏 but I must say you have a wonderful profile, but so sad enough we're not friends here on Facebook and I've been trying to send you a friend request but it keeps on declining... would you mind sending me a friend request,🌹🌹🌹🌹🌹 thank you!!!"
"Not my children, yet heart is breaking! Not a fan of motorcycles, nearly loss my nephew riding one.
Praying for all the families, friends and entire community.",
"Always and forever.

Every time my husband and I get on the bike, I say a prayer. 🙏🏼 it’s all in gods hands.

My heart bleeds for their parents but hope they find comfort that they were together and still are.",
Such a tragedy! My condolences to all who loved them.💔🙏,
,"Diane Strzelinski Hello, how are you doing? sorry for infringing on your profile,🙏🙏🙏🙏 but I must say you have a wonderful profile, but so sad enough we're not friends here on Facebook and I've been trying to send you a friend request but it keeps on declining... would you mind sending me a friend request,🌹🌹🌹🌹🌹 thank you!!!"
💚🤍🙏🏼🕊️💚🤍,
"Aww, so sad!! Condolences to those families. No words💔💔",
This is so tragic and heartbreaking 🙏,
🙏🙏❤️so sorry for the loss of two families .,
So sad rest in peace 🙏🙏🙏🙏fir the families,
So sad condolences to families,
"I am so sad , such a heartbreak 💔",
Sending prayers 😢🙏🙏,
"Meant to be together
Now together forever🙏",
,"Karen Lee Bish Hello, how are you doing? sorry for infringing on your profile,🙏🙏🙏🙏 but I must say you have a wonderful profile, but so sad enough we're not friends here on Facebook and I've been trying to send you a friend request but it keeps on declining... would you mind sending me a friend request,🌹🌹🌹🌹🌹 thank you!!!"
Condolences to the family,
So sad. Prayers to family and friends,
Omg so sad Rip 🙏🙏🙏,
Prayers for their love ones 🙏🙏🙏🙏,
Heartbreaking 🙏🙏,
Prayers,
🙏🏻❤️🙏🏻,
🙏🏽❤️🙏🏽,
Together forever ❤️❤️,
,"Hello, how are you doing? sorry for infringing on your profile,🙏🙏🙏🙏 but I must say you have a wonderful profile, but so sad enough we're not friends here on Facebook and I've been trying to send you a friend request but it keeps on declining... would you mind sending me a friend request,🌹🌹🌹🌹🌹 thank you!!!"
So sad 🙏🏻🙏🏻,
So so sorry,
,"Hello, how are you doing? sorry for infringing on your profile,🙏🙏🙏🙏 but I must say you have a wonderful profile, but so sad enough we're not friends here on Facebook and I've been trying to send you a friend request but it keeps on declining... would you mind sending me a friend request,🌹🌹🌹🌹🌹 thank you!!!"
Prayers to their families and friends so tragic may they Rest in peace 🙏😢😢🙏,
So sorry for the loss of these young adults. My condolences to the families.,
Sending prayers to both families. So sorry for your loss 🙏🙏🙏,
So sad RIP,
"Man, that’s tragic…it was only a few months ago and the bus overturned…RIP",
Stop riding those dangerous things.,
